parent_level,cell_group,cell_annotation,markers
Malignant,MES-like,MES-like_hypoxia_independent,CLU
Malignant,MES-like,MES-like_hypoxia_independent,IFITM3
Malignant,MES-like,MES-like_hypoxia_independent,SOD2
Malignant,MES-like,MES-like_hypoxia_independent,MT1X
Malignant,MES-like,MES-like_hypoxia_independent,S100A10
Malignant,MES-like,MES-like_hypoxia_independent,FTL
Malignant,MES-like,MES-like_hypoxia_independent,MT2A
Malignant,MES-like,MES-like_hypoxia_independent,SPARCL1
Malignant,MES-like,MES-like_hypoxia_independent,LGALS1
Malignant,MES-like,MES-like_hypoxia_independent,GFAP
Malignant,MES-like,MES-like_hypoxia_independent,CRYAB
Malignant,MES-like,MES-like_hypoxia_independent,TMSB4X
Malignant,MES-like,MES-like_hypoxia_independent,LTF
Malignant,MES-like,MES-like_hypoxia_independent,SAT1
Malignant,MES-like,MES-like_hypoxia_independent,S100A11
Malignant,MES-like,MES-like_hypoxia_independent,CD44
Malignant,MES-like,MES-like_hypoxia_independent,FTH1
Malignant,MES-like,MES-like_hypoxia_independent,ANXA1
Malignant,MES-like,MES-like_hypoxia_independent,NAMPT
Malignant,MES-like,MES-like_hypoxia_independent,GLUL
Malignant,MES-like,MES-like_hypoxia_independent,TMSB10
Malignant,MES-like,MES-like_hypoxia_independent,SERF2
Malignant,MES-like,MES-like_hypoxia_independent,CHI3L2
Malignant,NPC-like,NPC-like_OPC,OLIG2
Malignant,NPC-like,NPC-like_OPC,BCAN
Malignant,NPC-like,NPC-like_OPC,EEF1A1
Malignant,NPC-like,NPC-like_OPC,CDKN2A
Malignant,NPC-like,NPC-like_OPC,APOD
Malignant,NPC-like,NPC-like_OPC,NACA
Malignant,NPC-like,NPC-like_OPC,SOX6
Malignant,NPC-like,NPC-like_OPC,RACK1
Malignant,NPC-like,NPC-like_OPC,OLIG1
Malignant,NPC-like,NPC-like_OPC,BASP1
Malignant,NPC-like,NPC-like_OPC,CCND1
Malignant,NPC-like,NPC-like_OPC,SCG3
Malignant,NPC-like,NPC-like_OPC,EEF1B2
Malignant,NPC-like,NPC-like_OPC,SIRT2
Malignant,NPC-like,NPC-like_OPC,ENHO
Malignant,NPC-like,NPC-like_OPC,RGCC
Malignant,NPC-like,NPC-like_OPC,POLR2F
Malignant,NPC-like,NPC-like_OPC,LRRC4C
Malignant,NPC-like,NPC-like_OPC,SERPINE2
Malignant,NPC-like,NPC-like_OPC,SMOC1
Malignant,NPC-like,NPC-like_OPC,ALCAM
Malignant,NPC-like,NPC-like_OPC,PCSK1N
Malignant,NPC-like,NPC-like_OPC,LIMA1
Malignant,NPC-like,NPC-like_OPC,UCHL1
Malignant,NPC-like,NPC-like_OPC,FYN
Malignant,NPC-like,NPC-like_Prolif,HMGB1
Malignant,NPC-like,NPC-like_Prolif,HES6
Malignant,NPC-like,NPC-like_Prolif,UBE2C
Malignant,NPC-like,NPC-like_Prolif,TUBA1B
Malignant,NPC-like,NPC-like_Prolif,CENPF
Malignant,NPC-like,NPC-like_Prolif,HMGN2
Malignant,NPC-like,NPC-like_Prolif,TYMS
Malignant,NPC-like,NPC-like_Prolif,BIRC5
Malignant,NPC-like,NPC-like_Prolif,HMGB2
Malignant,NPC-like,NPC-like_Prolif,TOP2A
Malignant,NPC-like,NPC-like_Prolif,STMN1
Malignant,NPC-like,NPC-like_Prolif,MAD2L1
Malignant,NPC-like,NPC-like_Prolif,UBE2T
Malignant,NPC-like,NPC-like_Prolif,MKI67
Malignant,NPC-like,NPC-like_Prolif,TMSB15A
Malignant,NPC-like,NPC-like_Prolif,H2AZ1
Malignant,NPC-like,NPC-like_Prolif,NUSAP1
Malignant,NPC-like,NPC-like_Prolif,HMGN1
Malignant,NPC-like,NPC-like_Prolif,SMC4
Malignant,NPC-like,NPC-like_Prolif,CENPU
Malignant,NPC-like,NPC-like_Prolif,PTTG1
Malignant,NPC-like,NPC-like_Prolif,BASP1
Malignant,NPC-like,NPC-like_Prolif,DEK
Malignant,NPC-like,NPC-like_Prolif,ZWINT
Malignant,NPC-like,NPC-like_Prolif,PTMA
Malignant,NPC-like,NPC-like_neural,TUBA1A
Malignant,NPC-like,NPC-like_neural,STMN2
Malignant,NPC-like,NPC-like_neural,SOX4
Malignant,NPC-like,NPC-like_neural,STMN1
Malignant,NPC-like,NPC-like_neural,MLLT11
Malignant,NPC-like,NPC-like_neural,STMN4
Malignant,NPC-like,NPC-like_neural,MARCKSL1
Malignant,NPC-like,NPC-like_neural,TUBB2B
Malignant,NPC-like,NPC-like_neural,SOX11
Malignant,NPC-like,NPC-like_neural,ELAVL4
Malignant,NPC-like,NPC-like_neural,NNAT
Malignant,NPC-like,NPC-like_neural,DCX
Malignant,NPC-like,NPC-like_neural,NSG1
Malignant,NPC-like,NPC-like_neural,JPT1
Malignant,NPC-like,NPC-like_neural,UCHL1
Malignant,NPC-like,NPC-like_neural,TERF2IP
Malignant,NPC-like,NPC-like_neural,MAP1B
Malignant,NPC-like,NPC-like_neural,NSG2
Malignant,NPC-like,NPC-like_neural,TCF4
Malignant,NPC-like,NPC-like_neural,NFIB
Malignant,NPC-like,NPC-like_neural,DLX6-AS1
Malignant,NPC-like,NPC-like_neural,DLX5
Malignant,NPC-like,NPC-like_neural,TUBB2A
Malignant,NPC-like,NPC-like_neural,YWHAQ
Malignant,NPC-like,NPC-like_neural,CRMP1
Malignant,OPC-like,OPC-like,S100B
Malignant,OPC-like,OPC-like,GFAP
Malignant,OPC-like,OPC-like,PTPRZ1
Malignant,OPC-like,OPC-like,HSPA1A
Malignant,OPC-like,OPC-like,PMP2
Malignant,OPC-like,OPC-like,BCAN
Malignant,OPC-like,OPC-like,QKI
Malignant,OPC-like,OPC-like,NKAIN4
Malignant,OPC-like,OPC-like,ITGB8
Malignant,OPC-like,OPC-like,TSC22D4
Malignant,OPC-like,OPC-like,PLP1
Malignant,OPC-like,OPC-like,CBR1
Malignant,OPC-like,OPC-like,CNP
Malignant,OPC-like,OPC-like,NEAT1
Malignant,OPC-like,OPC-like,SPP1
Malignant,OPC-like,OPC-like,DNAJA1
Malignant,OPC-like,OPC-like,TSPAN3
Malignant,OPC-like,OPC-like,IFI16
Malignant,OPC-like,OPC-like,ADGRG1
Malignant,OPC-like,OPC-like,SOX8
Malignant,OPC-like,OPC-like,COL20A1
Malignant,OPC-like,OPC-like,ABAT
Malignant,OPC-like,OPC-like,RHOB
Malignant,OPC-like,OPC-like,SCRG1
Malignant,OPC-like,OPC-like,PLAT
Malignant,OPC-like,OPC-like_Prolif,TUBA1B
Malignant,OPC-like,OPC-like_Prolif,HNRNPA1
Malignant,OPC-like,OPC-like_Prolif,HMGN2
Malignant,OPC-like,OPC-like_Prolif,H2AZ1
Malignant,OPC-like,OPC-like_Prolif,PPIA
Malignant,OPC-like,OPC-like_Prolif,SEC61G
Malignant,OPC-like,OPC-like_Prolif,HNRNPA2B1
Malignant,OPC-like,OPC-like_Prolif,PTMA
Malignant,OPC-like,OPC-like_Prolif,HMGB2
Malignant,OPC-like,OPC-like_Prolif,HMGB1
Malignant,OPC-like,OPC-like_Prolif,LDHB
Malignant,OPC-like,OPC-like_Prolif,SUMO2
Malignant,OPC-like,OPC-like_Prolif,RAN
Malignant,OPC-like,OPC-like_Prolif,EGFR
Malignant,OPC-like,OPC-like_Prolif,TUBA1A
Malignant,OPC-like,OPC-like_Prolif,UBB
Malignant,OPC-like,OPC-like_Prolif,STMN1
Malignant,OPC-like,OPC-like_Prolif,UHRF1
Malignant,OPC-like,OPC-like_Prolif,HNRNPA3
Malignant,OPC-like,OPC-like_Prolif,TOP2A
Malignant,OPC-like,OPC-like_Prolif,TYMS
Malignant,OPC-like,OPC-like_Prolif,H2AZ2
Malignant,OPC-like,OPC-like_Prolif,PTTG1
Malignant,OPC-like,OPC-like_Prolif,FUS
Malignant,OPC-like,OPC-like_Prolif,BCAN
Monocyte,Mono,Mono_anti-infl,PLTP
Monocyte,Mono,Mono_anti-infl,C1QA
Monocyte,Mono,Mono_anti-infl,C1QC
Monocyte,Mono,Mono_anti-infl,C1QB
Monocyte,Mono,Mono_anti-infl,MS4A4A
Monocyte,Mono,Mono_anti-infl,APOE
Monocyte,Mono,Mono_anti-infl,LGMN
Monocyte,Mono,Mono_anti-infl,SLCO2B1
Monocyte,Mono,Mono_anti-infl,CD81
Monocyte,Mono,Mono_anti-infl,MARCKS
Monocyte,Mono,Mono_anti-infl,MS4A7
Monocyte,Mono,Mono_anti-infl,APOC1
Monocyte,Mono,Mono_anti-infl,FTL
Monocyte,Mono,Mono_anti-infl,GPNMB
Monocyte,Mono,Mono_anti-infl,DAB2
Monocyte,Mono,Mono_anti-infl,FOLR2
Monocyte,Mono,Mono_anti-infl,CTSD
Monocyte,Mono,Mono_anti-infl,PSAP
Monocyte,Mono,Mono_anti-infl,CD74
Monocyte,Mono,Mono_anti-infl,CTSZ
Monocyte,Mono,Mono_anti-infl,SELENOP
Monocyte,Mono,Mono_anti-infl,MSR1
Monocyte,Mono,Mono_anti-infl,FCGRT
Monocyte,Mono,Mono_anti-infl,CTSB
Monocyte,Mono,Mono_anti-infl,GRN
Monocyte,Mono,Mono_hypoxia,LDHA
Monocyte,Mono,Mono_hypoxia,S100A10
Monocyte,Mono,Mono_hypoxia,GAPDH
Monocyte,Mono,Mono_hypoxia,TPI1
Monocyte,Mono,Mono_hypoxia,VCAN
Monocyte,Mono,Mono_hypoxia,C15orf48
Monocyte,Mono,Mono_hypoxia,PGK1
Monocyte,Mono,Mono_hypoxia,CLEC5A
Monocyte,Mono,Mono_hypoxia,FTH1
Monocyte,Mono,Mono_hypoxia,ENO1
Monocyte,Mono,Mono_hypoxia,LGALS1
Monocyte,Mono,Mono_hypoxia,MIF
Monocyte,Mono,Mono_hypoxia,VIM
Monocyte,Mono,Mono_hypoxia,TIMP1
Monocyte,Mono,Mono_hypoxia,BTG1
Monocyte,Mono,Mono_hypoxia,PKM
Monocyte,Mono,Mono_hypoxia,SH3BGRL3
Monocyte,Mono,Mono_hypoxia,ALOX5AP
Monocyte,Mono,Mono_hypoxia,CXCL8
Monocyte,Mono,Mono_hypoxia,CXCL3
Monocyte,Mono,Mono_hypoxia,CD44
Monocyte,Mono,Mono_hypoxia,VEGFA
Monocyte,Mono,Mono_hypoxia,PLIN2
Monocyte,Mono,Mono_hypoxia,TREM1
Monocyte,Mono,Mono_hypoxia,SPP1
Monocyte,Mono,Mono_naive,FCN1
Monocyte,Mono,Mono_naive,S100A8
Monocyte,Mono,Mono_naive,S100A4
Monocyte,Mono,Mono_naive,LYZ
Monocyte,Mono,Mono_naive,S100A6
Monocyte,Mono,Mono_naive,S100A9
Monocyte,Mono,Mono_naive,CD52
Monocyte,Mono,Mono_naive,CSTA
Monocyte,Mono,Mono_naive,CTSS
Monocyte,Mono,Mono_naive,PLAC8
Monocyte,Mono,Mono_naive,LST1
Monocyte,Mono,Mono_naive,COTL1
Monocyte,Mono,Mono_naive,S100A12
Monocyte,Mono,Mono_naive,ATP5F1E
Monocyte,Mono,Mono_naive,CORO1A
Monocyte,Mono,Mono_naive,CFP
Monocyte,Mono,Mono_naive,DUSP1
Monocyte,Mono,Mono_naive,MNDA
Monocyte,Mono,Mono_naive,XIST
Monocyte,Mono,Mono_naive,CD48
Monocyte,Mono,Mono_naive,TOMM7
Monocyte,Mono,Mono_naive,HLA-C
Monocyte,Mono,Mono_naive,ATP5MG
Monocyte,Mono,Mono_naive,PABPC1
Monocyte,Mono,Mono_naive,COX7C
Mural_Cells,Mural_cell,Pericyte,COL4A1
Mural_Cells,Mural_cell,Pericyte,COL4A2
Mural_Cells,Mural_cell,Pericyte,PDGFRB
Mural_Cells,Mural_cell,Pericyte,PTN
Mural_Cells,Mural_cell,Pericyte,FN1
Mural_Cells,Mural_cell,Pericyte,CALD1
Mural_Cells,Mural_cell,Pericyte,RGS5
Mural_Cells,Mural_cell,Pericyte,IGFBP7
Mural_Cells,Mural_cell,Pericyte,NOTCH3
Mural_Cells,Mural_cell,Pericyte,IFITM3
Mural_Cells,Mural_cell,Pericyte,HIGD1B
Mural_Cells,Mural_cell,Pericyte,COL18A1
Mural_Cells,Mural_cell,Pericyte,PPP1R14A
Mural_Cells,Mural_cell,Pericyte,DCN
Mural_Cells,Mural_cell,Pericyte,EPAS1
Mural_Cells,Mural_cell,Pericyte,NDUFA4L2
Mural_Cells,Mural_cell,Pericyte,CCDC102B
Mural_Cells,Mural_cell,Pericyte,LHFPL6
Mural_Cells,Mural_cell,Pericyte,CYTOR
Mural_Cells,Mural_cell,Pericyte,BGN
Mural_Cells,Mural_cell,Pericyte,PLXDC1
Mural_Cells,Mural_cell,Pericyte,ITGB1
Mural_Cells,Mural_cell,Pericyte,SLC38A11
Mural_Cells,Mural_cell,Pericyte,ENPEP
Mural_Cells,Mural_cell,Pericyte,SPRY1
Mural_Cells,Mural_cell,Perivascular_fibroblast,CYP1B1
Mural_Cells,Mural_cell,Perivascular_fibroblast,C1S
Mural_Cells,Mural_cell,Perivascular_fibroblast,DCN
Mural_Cells,Mural_cell,Perivascular_fibroblast,C1R
Mural_Cells,Mural_cell,Perivascular_fibroblast,APOD
Mural_Cells,Mural_cell,Perivascular_fibroblast,PTGDS
Mural_Cells,Mural_cell,Perivascular_fibroblast,ANXA2
Mural_Cells,Mural_cell,Perivascular_fibroblast,CLDN11
Mural_Cells,Mural_cell,Perivascular_fibroblast,RARRES2
Mural_Cells,Mural_cell,Perivascular_fibroblast,FBLN1
Mural_Cells,Mural_cell,Perivascular_fibroblast,MMP2
Mural_Cells,Mural_cell,Perivascular_fibroblast,RBP1
Mural_Cells,Mural_cell,Perivascular_fibroblast,LGALS3
Mural_Cells,Mural_cell,Perivascular_fibroblast,FBLN2
Mural_Cells,Mural_cell,Perivascular_fibroblast,COLEC12
Mural_Cells,Mural_cell,Perivascular_fibroblast,CLU
Mural_Cells,Mural_cell,Perivascular_fibroblast,CST3
Mural_Cells,Mural_cell,Perivascular_fibroblast,S100A6
Mural_Cells,Mural_cell,Perivascular_fibroblast,SAT1
Mural_Cells,Mural_cell,Perivascular_fibroblast,FLRT2
Mural_Cells,Mural_cell,Perivascular_fibroblast,ISLR
Mural_Cells,Mural_cell,Perivascular_fibroblast,LTBP2
Mural_Cells,Mural_cell,Perivascular_fibroblast,IGFBP6
Mural_Cells,Mural_cell,Perivascular_fibroblast,S100A13
Mural_Cells,Mural_cell,Perivascular_fibroblast,EMP1
Mural_Cells,Mural_cell,SMC,NDUFA4L2
Mural_Cells,Mural_cell,SMC,IGFBP7
Mural_Cells,Mural_cell,SMC,LGALS1
Mural_Cells,Mural_cell,SMC,GAPDH
Mural_Cells,Mural_cell,SMC,PFN1
Mural_Cells,Mural_cell,SMC,THY1
Mural_Cells,Mural_cell,SMC,AP2S1
Mural_Cells,Mural_cell,SMC,MYL9
Mural_Cells,Mural_cell,SMC,BGN
Mural_Cells,Mural_cell,SMC,PPP1R14A
Mural_Cells,Mural_cell,SMC,PDLIM1
Mural_Cells,Mural_cell,SMC,RHOC
Mural_Cells,Mural_cell,SMC,CRIP1
Mural_Cells,Mural_cell,SMC,RACK1
Mural_Cells,Mural_cell,SMC,TMSB10
Mural_Cells,Mural_cell,SMC,TAGLN2
Mural_Cells,Mural_cell,SMC,CORO1B
Mural_Cells,Mural_cell,SMC,SERPINH1
Mural_Cells,Mural_cell,SMC,TIMP1
Mural_Cells,Mural_cell,SMC,TGFB1I1
Mural_Cells,Mural_cell,SMC,TPM2
Mural_Cells,Mural_cell,SMC,VIM
Mural_Cells,Mural_cell,SMC,MYL6
Mural_Cells,Mural_cell,SMC,MYL12A
Mural_Cells,Mural_cell,SMC,S100A11
Mural_Cells,Mural_cell,SMC_COL,COL6A3
Mural_Cells,Mural_cell,SMC_COL,COL1A1
Mural_Cells,Mural_cell,SMC_COL,COL6A1
Mural_Cells,Mural_cell,SMC_COL,COL1A2
Mural_Cells,Mural_cell,SMC_COL,COL5A1
Mural_Cells,Mural_cell,SMC_COL,S100A6
Mural_Cells,Mural_cell,SMC_COL,MT2A
Mural_Cells,Mural_cell,SMC_COL,POSTN
Mural_Cells,Mural_cell,SMC_COL,COL6A2
Mural_Cells,Mural_cell,SMC_COL,NNMT
Mural_Cells,Mural_cell,SMC_COL,MT1X
Mural_Cells,Mural_cell,SMC_COL,S100A10
Mural_Cells,Mural_cell,SMC_COL,AEBP1
Mural_Cells,Mural_cell,SMC_COL,TNC
Mural_Cells,Mural_cell,SMC_COL,TIMP1
Mural_Cells,Mural_cell,SMC_COL,SERPINE1
Mural_Cells,Mural_cell,SMC_COL,SH3BGRL3
Mural_Cells,Mural_cell,SMC_COL,EMP1
Mural_Cells,Mural_cell,SMC_COL,EMP3
Mural_Cells,Mural_cell,SMC_COL,FAP
Mural_Cells,Mural_cell,SMC_COL,ENO1
Mural_Cells,Mural_cell,SMC_COL,ANXA2
Mural_Cells,Mural_cell,SMC_COL,EMILIN1
Mural_Cells,Mural_cell,SMC_COL,LGALS1
Mural_Cells,Mural_cell,SMC_COL,S100A16
Mural_Cells,Mural_cell,SMC_prolif,TUBA1B
Mural_Cells,Mural_cell,SMC_prolif,H2AZ1
Mural_Cells,Mural_cell,SMC_prolif,STMN1
Mural_Cells,Mural_cell,SMC_prolif,PCLAF
Mural_Cells,Mural_cell,SMC_prolif,RAN
Mural_Cells,Mural_cell,SMC_prolif,PTMA
Mural_Cells,Mural_cell,SMC_prolif,CENPW
Mural_Cells,Mural_cell,SMC_prolif,TYMS
Mural_Cells,Mural_cell,SMC_prolif,RANBP1
Mural_Cells,Mural_cell,SMC_prolif,PPIA
Mural_Cells,Mural_cell,SMC_prolif,PFN1
Mural_Cells,Mural_cell,SMC_prolif,COX8A
Mural_Cells,Mural_cell,SMC_prolif,CKS1B
Mural_Cells,Mural_cell,SMC_prolif,HMGB1
Mural_Cells,Mural_cell,SMC_prolif,CHCHD2
Mural_Cells,Mural_cell,SMC_prolif,UBE2T
Mural_Cells,Mural_cell,SMC_prolif,AP2S1
Mural_Cells,Mural_cell,SMC_prolif,SLC25A5
Mural_Cells,Mural_cell,SMC_prolif,TK1
Mural_Cells,Mural_cell,SMC_prolif,UBE2C
Mural_Cells,Mural_cell,SMC_prolif,CDK1
Mural_Cells,Mural_cell,SMC_prolif,CYTOR
Mural_Cells,Mural_cell,SMC_prolif,LDHB
Mural_Cells,Mural_cell,SMC_prolif,GAPDH
Mural_Cells,Mural_cell,SMC_prolif,TUBG1
Mural_Cells,Mural_cell,Scavenging_endothelial,ITM2A
Mural_Cells,Mural_cell,Scavenging_endothelial,RGCC
Mural_Cells,Mural_cell,Scavenging_endothelial,SRGN
Mural_Cells,Mural_cell,Scavenging_endothelial,LMO2
Mural_Cells,Mural_cell,Scavenging_endothelial,SLCO2B1
Mural_Cells,Mural_cell,Scavenging_endothelial,PECAM1
Mural_Cells,Mural_cell,Scavenging_endothelial,ADGRL4
Mural_Cells,Mural_cell,Scavenging_endothelial,IVNS1ABP
Mural_Cells,Mural_cell,Scavenging_endothelial,PODXL
Mural_Cells,Mural_cell,Scavenging_endothelial,CD74
Mural_Cells,Mural_cell,Scavenging_endothelial,TM4SF18
Mural_Cells,Mural_cell,Scavenging_endothelial,ABCG2
Mural_Cells,Mural_cell,Scavenging_endothelial,SLC7A5
Mural_Cells,Mural_cell,Scavenging_endothelial,SAT1
Mural_Cells,Mural_cell,Scavenging_endothelial,HLA-DRA
Mural_Cells,Mural_cell,Scavenging_endothelial,VWF
Mural_Cells,Mural_cell,Scavenging_endothelial,SLC7A1
Mural_Cells,Mural_cell,Scavenging_endothelial,DUSP6
Mural_Cells,Mural_cell,Scavenging_endothelial,FLT1
Mural_Cells,Mural_cell,Scavenging_endothelial,SEC14L1
Mural_Cells,Mural_cell,Scavenging_endothelial,CD93
Mural_Cells,Mural_cell,Scavenging_endothelial,HLA-DRB1
Mural_Cells,Mural_cell,Scavenging_endothelial,RNASE1
Mural_Cells,Mural_cell,Scavenging_endothelial,RGS1
Mural_Cells,Mural_cell,Scavenging_endothelial,C1QC
Mural_Cells,Mural_cell,Scavenging_pericyte,CD74
Mural_Cells,Mural_cell,Scavenging_pericyte,HLA-DRA
Mural_Cells,Mural_cell,Scavenging_pericyte,RGS1
Mural_Cells,Mural_cell,Scavenging_pericyte,PLP1
Mural_Cells,Mural_cell,Scavenging_pericyte,C1QC
Mural_Cells,Mural_cell,Scavenging_pericyte,LYZ
Mural_Cells,Mural_cell,Scavenging_pericyte,SPP1
Mural_Cells,Mural_cell,Scavenging_pericyte,CCL4
Mural_Cells,Mural_cell,Scavenging_pericyte,CCL3L3
Mural_Cells,Mural_cell,Scavenging_pericyte,MTND1P23
Mural_Cells,Mural_cell,Scavenging_pericyte,MTND2P28
Mural_Cells,Mural_cell,Scavenging_pericyte,CD163
Mural_Cells,Mural_cell,Scavenging_pericyte,FYB1
Mural_Cells,Mural_cell,Scavenging_pericyte,MS4A6A
Mural_Cells,Mural_cell,Scavenging_pericyte,MTATP6P1
Mural_Cells,Mural_cell,Scavenging_pericyte,IL1B
Mural_Cells,Mural_cell,Scavenging_pericyte,ITGB2
Mural_Cells,Mural_cell,Scavenging_pericyte,FCGR3A
Mural_Cells,Mural_cell,Scavenging_pericyte,FCER1G
Mural_Cells,Mural_cell,Scavenging_pericyte,CTSB
Mural_Cells,Mural_cell,Scavenging_pericyte,KLF4
Mural_Cells,Mural_cell,Scavenging_pericyte,CPVL
Mural_Cells,Mural_cell,Scavenging_pericyte,HLA-DRB5
Mural_Cells,Mural_cell,Scavenging_pericyte,SRGN
Mural_Cells,Mural_cell,Scavenging_pericyte,CYBB
Mural_Cells,Mural_cell,VLMC,CLU
Mural_Cells,Mural_cell,VLMC,S100A6
Mural_Cells,Mural_cell,VLMC,FTH1
Mural_Cells,Mural_cell,VLMC,FTL
Mural_Cells,Mural_cell,VLMC,CRYAB
Mural_Cells,Mural_cell,VLMC,NDUFA4
Mural_Cells,Mural_cell,VLMC,MDK
Mural_Cells,Mural_cell,VLMC,GSTP1
Mural_Cells,Mural_cell,VLMC,MT2A
Mural_Cells,Mural_cell,VLMC,GPM6B
Mural_Cells,Mural_cell,VLMC,APOE
Mural_Cells,Mural_cell,VLMC,NUPR1
Mural_Cells,Mural_cell,VLMC,SLN
Mural_Cells,Mural_cell,VLMC,DBI
Mural_Cells,Mural_cell,VLMC,OCIAD2
Mural_Cells,Mural_cell,VLMC,SFRP4
Mural_Cells,Mural_cell,VLMC,PTGDS
Mural_Cells,Mural_cell,VLMC,PRDX2
Mural_Cells,Mural_cell,VLMC,PSAP
Mural_Cells,Mural_cell,VLMC,PEBP1
Mural_Cells,Mural_cell,VLMC,GPX4
Mural_Cells,Mural_cell,VLMC,BEX1
Mural_Cells,Mural_cell,VLMC,CST3
Mural_Cells,Mural_cell,VLMC,ASAH1
Mural_Cells,Mural_cell,VLMC,AP1S2
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,IFI6
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,B2M
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,LY6E
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,IFITM3
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,HLA-C
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,FCGR1A
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,TMEM176B
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,IFI44L
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,CD14
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,FCGR1BP
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,CYBA
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,ISG15
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,C1QA
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,C1QC
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,BST2
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,MX1
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,C1QB
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,FCER1G
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,FOLR2
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,TMEM176A
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,MS4A6A
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,LGALS3BP
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,GRN
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,TNFSF13B
TAM_BloodDerived,TAM-BDM,TAM-BDM_INF,SERPING1
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,HLA-DRA
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,HLA-DQA1
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,HLA-DQB1
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,HLA-DRB1
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,HLA-DRB5
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,CD74
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,HLA-DMA
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,CST3
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,IGKC
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,IGHA1
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,IGLC2
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,IGHG4
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,CXCR4
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,IGHG3
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,PLD4
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,ALDH2
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,LYZ
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,EEF1A1
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,HERPUD1
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,FXYD5
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,JUNB
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,IGHM
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,IGHG1
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,CTSH
TAM_BloodDerived,TAM-BDM,TAM-BDM_MHC,RGS2
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,RHOB
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,SLC1A3
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,FKBP5
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,NEAT1
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,PADI2
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,ACSL1
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,APOC1
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,OLR1
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,KLF2
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,TSC22D3
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,SIGLEC10
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,CTSB
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,SLC11A1
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,FOSB
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,ID2
TAM_BloodDerived,TAM-BDM,TAM-BDM_anti-infl,EPB41L2
